,0
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL325.csv,"[1.6821632065397856, 1.7876489692025894, 1.9615479959693924, 2.0049412635950863, 1.7821823309687286, 1.6151945842941533]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL335.csv,"[1.0862148603517896, 1.2003856069219998, 0.9219874437864032, 0.7320304700155192, 0.7446001517332094, 0.7033000011550713]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL2695.csv,"[0.7774591418608419, 0.5058095420276181, 0.4750544351458655, 0.4421584444330316, 0.3790840262526577, 0.34853415758405454]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL6089.csv,"[0.06204576565233392, 0.05456135458718907, 0.049375365086570866, 0.0466882486447215, 0.04322629483151011, 0.04010721403017199]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL228.csv,"[2.155009974066052, 1.8623913985651572, 1.6271660181964493, 1.3730455119144334, 1.3041143570802567, 1.3103128279642147]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL3892.csv,"[1.593840429524942, 0.8351496504902485, 0.5351423436299136, 0.5183933818687392, 0.49303247969582376, 0.43498541671646535]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL252.csv,"[3.3692903484686223, 1.7345130538590472, 1.495185037505256, 1.278035683708308, 0.9308819711139639, 0.8991319132902745]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL234.csv,"[1.8472776224119292, 2.7644053338414656, 1.689663313013837, 1.557942166474989, 1.3954008586392141, 1.3595899799764763]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL312.csv,"[1.007119291501077, 0.7429854415942754, 0.5670870708452525, 0.5564741535430929, 0.4983071393593872, 0.4246121077094918]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL2959.csv,"[0.9305618475917782, 0.9485608931923593, 0.7704800076027309, 0.621861926824841, 0.5976274631568514, 0.5782118483488603]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL4561.csv,"[1.4785848784168607, 1.2662529311475494, 1.2038957567055981, 1.0633369132701962, 0.9774938047160819, 0.7245242756884147]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL1741213.csv,"[0.6897626734337724, 0.3362205929612386, 0.35261747893421896, 0.2976619648629157, 0.2878118109119278, 0.26339128644517745]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL3229.csv,"[3.1259459727289465, 1.5979358526601783, 1.6114380562664319, 1.583686223429098, 1.4011725624387323, 1.3136487779331685]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL4203.csv,"[1.149145723414978, 1.048091942634233, 0.8001428633077035, 0.6584194103051987, 0.5514212968448184, 0.482777344604874]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL220.csv,"[2.3988103909696803, 1.5865445484291865, 1.5579988118511467, 1.2757398211415527, 1.213496453991436, 1.1774504832506878]"
